"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PBSX","WEIGHT","OBSMATCH","EXPMATCH","PBSX.E","RMSR","WMLE","INDF","OUTDF","GROUPING","MODEL","RECODE","NAME"
34,-0.404844,1,500,286,0.099443,1.0011,0.041,0.9633,-0.579,-0.00181,0.3971,1,68,69.369,0.3958,0.4439,-0.445811,1291.9,526.51,0,"R","K","MCQ_FT_01"
35,-1.85264,1,500,408,0.124359,0.9809,-0.239,1.0592,0.4711,-0.00232,0.3166,1,84.8,83.094,0.3297,0.3513,-1.89339,365.34,108.46,0,"R","K","MCQ_FT_02"
36,-1.07343,1,500,349,0.106472,0.9822,-0.339,0.9796,-0.209,-0.00206,0.3917,1,73.2,74.678,0.3749,0.4107,-1.11435,800.48,273.83,0,"R","K","MCQ_FT_03"
37,-1.17857,1,500,358,0.108234,1.0632,1.2011,1.1352,1.4511,-0.00209,0.3103,1,74.6,75.796,0.3699,0.4203,-1.21947,725.04,241.72,0,"R","K","MCQ_FT_04"
38,-0.587353,1,500,304,0.100676,0.9614,-0.939,0.9213,-1.1991,-0.00188,0.4319,1,72,70.378,0.3921,0.4297,-0.628309,1174.3,459.65,0,"R","K","MCQ_FT_05"
39,0.755728,1,500,176,0.102076,0.9957,-0.089,1.0611,0.8511,-0.00118,0.3821,1,70.6,71.356,0.378,0.4313,0.714697,1077.9,376.12,0,"R","K","MCQ_FT_06"
40,0.569185,1,500,194,0.100286,1.0491,1.211,1.0714,1.0811,-0.00121,0.3353,1,67.2,70.006,0.3837,0.4506,0.528167,1226.9,457.2,0,"R","K","MCQ_FT_07"
41,0.713685,1,500,180,0.101624,0.9864,-0.309,0.9581,-0.569,-0.00119,0.3921,1,72.2,71.031,0.3794,0.4312,0.672657,1112.8,393.92,0,"R","K","MCQ_FT_08"
42,-1.91205,1,500,417,0.127773,0.9837,-0.179,1.01,0.121,-0.00173,0.3206,1,83.8,84.07,0.3022,0.3425,-1.95277,330.53,88.91,0,"R","K","MCQ_FT_09"
43,-1.00077,1,500,349,0.105878,1.032,0.661,0.9964,-0.009,-0.00154,0.3351,1,74,74.364,0.3628,0.4233,-1.04169,817.06,262.96,0,"R","K","MCQ_FT_10"
44,-0.413144,1,500,296,0.099567,1.0238,0.611,1.0086,0.161,-0.0016,0.3606,1,67.535,69.637,0.383,0.4488,-0.45411,1256.7,534.43,0,"R","K","MCQ_FT_11"
45,-0.797794,1,500,333,0.103369,1.0117,0.271,0.9852,-0.169,-0.00166,0.3619,1,73.146,72.801,0.3708,0.4297,-0.838733,946.17,351.85,0,"R","K","MCQ_FT_12"
46,0.970816,1,500,158,0.104315,0.9663,-0.719,1.0114,0.171,-0.0014,0.3949,1,75.15,73.159,0.3655,0.4162,0.929768,919.67,318.6,0,"R","K","MCQ_FT_13"
47,2.557325,1,500,52,0.152866,0.9498,-0.4291,0.8342,-0.7992,-0.00131,0.3096,1,89.98,89.761,0.2575,0.2815,2.515609,168.89,49.01,0,"R","K","MCQ_FT_14"
48,0.371444,1,500,216,0.098689,0.9749,-0.659,0.9877,-0.189,-0.00148,0.409,1,71.543,68.769,0.3848,0.4418,0.330438,1392,595.49,0,"R","K","MCQ_FT_15"
49,-0.841917,1,500,329,0.103393,1.0664,1.4511,1.0625,0.8311,0.001059,0.3285,1,69.8,72.441,0.3798,0.4406,-0.882854,974.64,343.07,0,"R","K","MCQ_FT_16"
50,-1.27777,1,500,367,0.11001,1.0146,0.291,1.0048,0.081,0.001072,0.3398,1,77.2,76.627,0.3538,0.4039,-1.31866,676.29,203.6,0,"R","K","MCQ_FT_17"
51,-1.16939,1,500,358,0.108066,0.9504,-0.959,0.9149,-0.9091,0.001074,0.4003,1,77.6,75.47,0.3609,0.398,-1.21029,746.57,232.22,0,"R","K","MCQ_FT_18"
52,1.062688,1,500,145,0.107536,0.9676,-0.619,0.9337,-0.7091,0.000711,0.4134,1,76.2,75.294,0.3839,0.4035,1.021626,760.84,241.62,0,"R","K","MCQ_FT_19"
53,1.206662,1,500,133,0.110063,1.0524,0.9611,1.0607,0.6311,0.000667,0.3255,1,76.2,76.72,0.3764,0.4112,1.165581,670.52,202.9,0,"R","K","MCQ_FT_20"
54,-0.628003,1,500,312,0.10083,0.9768,-0.549,0.9902,-0.109,0.001125,0.3884,1,71.6,70.636,0.3741,0.4324,-0.668957,1157.5,368.57,0,"R","K","MCQ_FT_21"
55,0.193902,1,500,229,0.098501,0.9944,-0.139,1.0122,0.221,0.001013,0.3959,1,69.4,68.763,0.394,0.4466,0.152904,1374.6,555.95,0,"R","K","MCQ_FT_22"
56,1.356283,1,500,122,0.112602,1.0077,0.151,1.1489,1.3911,0.000715,0.3524,1,77.4,78.107,0.3629,0.3933,1.315182,585.32,181.32,0,"R","K","MCQ_FT_23"
57,0.282728,1,500,220,0.098837,1.0111,0.301,1.0335,0.561,0.000995,0.3806,1,69,69.018,0.394,0.4488,0.241726,1337,537.42,0,"R","K","MCQ_FT_24"
58,-1.3852,1,500,379,0.112323,1.0322,0.571,1.0186,0.201,0.001156,0.3041,1,77,77.89,0.3297,0.399,-1.42607,600.46,160.54,0,"R","K","MCQ_FT_25"
59,-0.062858,1,500,263,0.098471,1.0471,1.221,1.0296,0.551,0.002125,0.349,1,67,68.795,0.3925,0.4585,-0.103843,1348.8,662.17,0,"R","K","MCQ_FT_26"
60,2.256369,1,500,68,0.137086,1.0384,0.461,1.2444,1.4012,0.001579,0.2321,1,86.4,86.61,0.2934,0.3279,2.214966,253.6,69.83,0,"R","K","MCQ_FT_27"
61,2.110102,1,500,76,0.131485,1.0122,0.181,1.0251,0.211,0.001635,0.3017,1,84.2,85.157,0.3054,0.3376,2.068786,297.97,82.46,0,"R","K","MCQ_FT_28"
62,-0.886709,1,500,343,0.104947,0.9452,-1.1491,0.9717,-0.329,0.0021,0.3982,1,76.2,73.638,0.3621,0.4087,-0.92764,877.68,311.01,0,"R","K","MCQ_FT_29"
63,0.43978,1,500,212,0.099321,0.993,-0.159,1.0055,0.111,0.002088,0.4003,1,70,69.709,0.3932,0.4426,0.398769,1263.2,573.49,0,"R","K","MCQ_FT_30"
64,1.950115,1,500,83,0.128112,1.0332,0.451,0.8686,-0.8391,0.001713,0.3193,1,82.4,84.157,0.3249,0.35,1.908854,328.69,84.17,0,"R","K","MCQ_FT_31"
65,0.079635,1,500,243,0.098607,0.9639,-0.949,0.9361,-1.0491,0.002254,0.4317,1,69.2,68.849,0.3996,0.4392,0.038643,1385.5,534.6,0,"R","K","MCQ_FT_32"
66,-0.058337,1,500,257,0.098636,1.0119,0.321,1.0676,1.1111,0.002264,0.3815,1,68.2,68.85,0.3988,0.4499,-0.099322,1378.7,538.17,0,"R","K","MCQ_FT_33"
67,-1.46165,1,500,385,0.115278,0.8819,-1.9691,0.8298,-1.5092,0.00222,0.4233,1,83.6,79.368,0.3414,0.3594,-1.5025,522.02,146.64,0,"R","K","MCQ_FT_34"
68,-0.519112,1,500,303,0.100723,0.9931,-0.149,1.1342,1.8911,0.002276,0.398,1,71,70.52,0.3891,0.4365,-0.560071,1162.1,421.18,0,"R","K","MCQ_FT_35"
69,0.363114,1,750,655,0.05802,1.0709,1.5811,1.0881,1.7511,-0.00124,0.4589,1,51.6,54.421,0.5052,0.6425,0.322122,1027.5,817.25,0,"R","K","TEI_FT_01"
70,0.22442,1,750,667,0.057579,0.9915,-0.179,0.9721,-0.539,-0.00144,0.5115,1,54.8,53.887,0.5055,0.6229,0.183429,1038.5,787.09,0,"R","K","TEI_FT_02"
71,0.235167,1,750,676,0.054408,0.9867,-0.299,0.9878,-0.209,-0.00139,0.5118,1,50.334,51.577,0.5042,0.6581,0.194177,1080.9,694.29,0,"R","K","TEI_FT_03"
72,0.189287,1,750,684,0.052211,1.0385,0.891,1.0227,0.371,-0.00145,0.5054,1,48.331,50.414,0.5273,0.7036,0.148296,1069.9,492.33,0,"R","K","TEI_FT_04"
73,1.16205,1,1000,1356,0.029532,0.8124,-3.6992,0.8553,-2.1191,-0.00068,0.6935,1,46.6,46.45,0.6516,0.9521,1.121059,688.1,397.35,0,"R","K","SCR_FT_01"
74,1.494316,1,1000,1024,0.033426,0.8897,-1.7991,0.8586,-2.2091,-0.00114,0.6149,1,53.8,50.677,0.5804,0.8803,1.453325,505.33,450.33,0,"R","K","SCR_FT_02"
