";STRUCTURE-THRESHOLD MEASURE ANCHOR FILE FOR RASCH_SCALING_EXAMPLE Jul 17 2023 19:30"
";ITEM","CATEGORY","Rasch-Andrich threshold MEASURE"
1,0,.000000
1,1,.000000
2,0,.000000
2,1,.000000
3,0,.000000
3,1,.000000
4,0,.000000
4,1,.000000
5,0,.000000
5,1,.000000
6,0,.000000
6,1,.000000
7,0,.000000
7,1,.000000
8,0,.000000
8,1,.000000
9,0,.000000
9,1,.000000
10,0,.000000
10,1,.000000
11,0,.000000
11,1,.000000
12,0,.000000
12,1,.000000
13,0,.000000
13,1,.000000
14,0,.000000
14,1,.000000
15,0,.000000
15,1,.000000
16,0,.000000
16,1,.000000
17,0,.000000
17,1,.000000
18,0,.000000
18,1,.000000
19,0,.000000
19,1,.000000
20,0,.000000
20,1,.000000
21,0,.000000
21,1,.000000
22,0,.000000
22,1,.000000
23,0,.000000
23,1,.000000
24,0,.000000
24,1,.000000
25,0,.000000
25,1,.000000
26,0,.000000
26,1,.000000
27,0,.000000
27,1,.000000
28,0,.000000
28,1,.000000
29,0,.000000
29,1,.000000
30,0,.000000
30,1,.000000
31,0,.000000
31,1,-.63273
31,2,.632733
32,0,.000000
32,1,-.23037
32,2,.230372
33,0,.000000
33,1,-1.6386
33,2,-1.0365
33,3,-.45111
33,4,.590224
33,5,.660746
33,6,1.87519
